"year","region_group","avg_price","transactions"
"1995","Greater London","97733.564075466150","108817"
"1995","Rest of UK","63226.335218313226","688071"
"1996","Greater London","105477.750276895813","135430"
"1996","Rest of UK","65969.006581080478","829651"
"1997","Greater London","119913.948433407948","157699"
"1997","Rest of UK","71576.554625662140","936547"
"1998","Greater London","135164.111113350397","148857"
"1998","Rest of UK","77233.037895654663","901449"
"1999","Greater London","158474.697167477673","172214"
"1999","Rest of UK","85525.280373840916","1022467"
"2000","Greater London","188840.747311898541","152338"
"2000","Rest of UK","94806.536249213020","976835"
"2001","Greater London","204989.246175486893","165642"
"2001","Rest of UK","105688.563948670323","1079999"
"2002","Greater London","233392.319378645601","177097"
"2002","Rest of UK","123568.223384609097","1174499"
"2003","Greater London","251434.031032809672","152516"
"2003","Rest of UK","142436.128365004964","1082725"
"2004","Greater London","275694.567121622299","159576"
"2004","Rest of UK","164483.163409647567","1072146"
"2005","Greater London","290442.115063334968","138628"
"2005","Rest of UK","174173.885793035576","922632"
"2006","Greater London","316168.238802789728","173637"
"2006","Rest of UK","186562.113148973913","1152242"
"2007","Greater London","352913.259861494688","167647"
"2007","Rest of UK","199107.238661457602","1104485"
"2008","Greater London","362071.144192775772","82251"
"2008","Rest of UK","196016.562762428212","567298"
"2009","Greater London","362751.539864820526","76195"
"2009","Rest of UK","192699.207047920541","549013"
"2010","Greater London","408323.739609144384","92822"
"2010","Rest of UK","208090.123423652445","570385"
"2011","Greater London","422092.573117699514","90833"
"2011","Rest of UK","202659.120541546188","570293"
"2012","Greater London","438211.445707511722","94479"
"2012","Rest of UK","205511.966949314854","574330"
"2013","Greater London","512682.801152737752","114510"
"2013","Rest of UK","214869.693611503229","696361"
"2014","Greater London","586946.330669925667","129283"
"2014","Rest of UK","233638.189299208769","855376"
"2015","Greater London","643724.345591121441","129931"
"2015","Rest of UK","246163.680553331403","880485"
"2016","Greater London","697755.393292359428","122517"
"2016","Rest of UK","262544.390344147541","922860"
"2017","Greater London","796525.388895032794","117551"
"2017","Rest of UK","290732.010692942763","948289"
"2018","Greater London","820158.849967572242","111016"
"2018","Rest of UK","294764.968605232353","924326"
"2019","Greater London","834152.900474856708","107822"
"2019","Rest of UK","295267.323536470996","899948"
"2020","Greater London","858900.195056426853","96408"
"2020","Rest of UK","318671.053803275811","786309"
"2021","Greater London","800083.712760085082","135869"
"2021","Rest of UK","331632.025596308023","1084297"
"2022","Greater London","829035.411505555499","97831"
"2022","Rest of UK","341982.981038203482","764590"
